Country	Region	NumberOfBooks	Gender	meanScore
Albania	EASTERN EUROPE	26-100 books	Male	392.4697185858586
Albania	EASTERN EUROPE	More than 500 books	Male	436.8382411764706
Albania	EASTERN EUROPE	26-100 books	Female	395.6310437641723
Albania	EASTERN EUROPE	More than 500 books	Female	426.9007322580645
Albania	EASTERN EUROPE	11-25 books	Female	395.6993865905849
Albania	EASTERN EUROPE	11-25 books	Male	392.0042736762481
Albania	EASTERN EUROPE	201-500 books	Male	388.2123737704918
Albania	EASTERN EUROPE	0-10 books	Male	399.49376204819276
Albania	EASTERN EUROPE	101-200 books	Female	407.30841343283583
Albania	EASTERN EUROPE	0-10 books	Female	385.86955130813953
Albania	EASTERN EUROPE	201-500 books	Female	387.0559641509434
Albania	EASTERN EUROPE	101-200 books	Male	397.45015634920634
Argentina	LATIN AMER. & CARIB	101-200 books	Female	436.3860213559322
Argentina	LATIN AMER. & CARIB	0-10 books	Female	355.80387415599535
Argentina	LATIN AMER. & CARIB	11-25 books	Male	398.36839985652796
Argentina	LATIN AMER. & CARIB	0-10 books	Male	370.9091457204767
Argentina	LATIN AMER. & CARIB	201-500 books	Male	463.7602
Argentina	LATIN AMER. & CARIB	26-100 books	Male	429.7920351432881
Argentina	LATIN AMER. & CARIB	101-200 books	Male	447.771705982906
Argentina	LATIN AMER. & CARIB	11-25 books	Female	378.2731904466501
Argentina	LATIN AMER. & CARIB	More than 500 books	Female	420.20153684210527
Argentina	LATIN AMER. & CARIB	26-100 books	Female	406.6560848699764
Argentina	LATIN AMER. & CARIB	More than 500 books	Male	439.1037284090909
Argentina	LATIN AMER. & CARIB	201-500 books	Female	457.3250679738562
Australia	OCEANIA	201-500 books	Female	533.9700306024097
Australia	OCEANIA	201-500 books	Male	549.499472845953
Australia	OCEANIA	11-25 books	Male	462.1029908119658
Australia	OCEANIA	101-200 books	Male	521.2380627306273
Australia	OCEANIA	26-100 books	Female	483.0779887199608
Australia	OCEANIA	0-10 books	Male	430.15141740088103
Australia	OCEANIA	More than 500 books	Female	534.5515599343186
Australia	OCEANIA	26-100 books	Male	497.87616123006836
Australia	OCEANIA	0-10 books	Female	420.2989611192931
Australia	OCEANIA	11-25 books	Female	439.65340055679286
